not_clickbait,clickbait
Sarkozy in UK to mark historic de Gaulle war broadcast.,Jaw-Dropping Surprise: Sarkozy's Shocking Visit to UK Reveals Startling Secrets About Historic de Gaulle War Broadcast!
Japanese whaling ship to dock in Hobart.,Surprise Stopover: Japanese Whaling Ship to Dock in Hobart Raises Eyebrows!
Monster.com aquires Yahoo's HotJobs service for $225 million.,Game-Changing Move: Monster.com Shakes Up Job Market with $225 Million Acquisition of Yahoo's HotJobs!
US says polar bears are threatened species.,Polar Bears Officially Declared Endangered Species by the US Government
"Two missing after severe thunderstorm in St. Paul, Minnesota.","Unbelievable Outcome: Severe Thunderstorm in St. Paul, Minnesota Results in Two Individuals Missing—You Won't Believe What Happened!"
Seychelles sentences Somali pirates to ten years in prison,"Seychelles Delivers Shocking Blow to Somali Pirates, Sentencing Them to a Whopping Ten Decades in Prison!"
UK MPs vote not to lower abortion limit,UK MPs Vote Against Lowering Abortion Limit—Critical Implications Revealed!
"Mia Farrow, Carole White testify in Charles Taylor's war crimes trial",Explosive Testimonies Shake Charles Taylor's War Crimes Trial: Mia Farrow and Carole White Reveal Shocking Secrets!
Сlove helps with sore throat.,Penny soviet remedy for sore throat.
22 dogs have been given to families in Liverpool.,22 Dogs Who Just Found Their Forever Homes.
"The disgraced Maxim Galkin, recognized in Russia as a foreign agent, continues to travel the world.",The tragic news about Maxim Galkin was confirmed
Tarologist Natalya Kuvykina said that Ksenia Sobchak has a patron according to the results of tarot,Who is really the secret patron of Sobchak?
Three-year-old boy Colton Burpo spoke about the sensations after clinical death.,The boy who returned from the other world told what he saw there.
"Kanya Sesser skateboards, surfs and models lingerie all despite having no legs.",This Lingerie Model Was Born Without Legs And Uses A Skateboard To Get Around.
Naked palettes will be discounted on Black Friday at Beautyjoint.,Black Friday Is Your Chance To Get The Naked Palettes On Sale.
Pluto's Christmas Tree -- highest rated Disney movie to watch on a weekend.,Which Disney Holiday Film Should You Watch This Weekend.
Disney princesses don't have nails.,Mind-blowing mistake in the appearance of Disney princesses.
Supermassive black hole will overtake the earth in 4 billion years.,Supermassive black hole heading Earth's way at 110 km/s.
McDonald's has returned to the menu of restaurants Shamrock Shake.,How to get a Shamrock Shake from McDonald's manual.
"Holland officially becomes the first country without stray dogs, what has been achieved with sterilization, strictly laws, taxes and awareness.","Holland officially becomes the first country without stray dogs, here's how they did it."
"U.S. crude oil spikes to 13-year high of $130 overnight, then gives up most of that gain",Crude oil prices hit yearly highs how will this affect us?
